Country,City,AccentCity,Region,Population,Latitude,Longitude
de,placken,Placken,7,,52.15,8.433333
gb,duffryn,Duffryn,Z3,,51.4375,-3.304444
id,kemitang,Kemitang,7,,-7.544444,109.183333
ie,oggal,Oggal,2,,54.2597222,-7.9266667
mk,cvetovo,Cvetovo,92,,41.8580556,21.4097222
pl,ciesle male,Ciesle Male,86,,52.176861,17.649143
ru,chishmabash,Chishmabash,73,,55.4708,53.8996
tz,lituhi mission,Lituhi Mission,14,,-10.55,34.6
us,steep falls,Steep Falls,ME,,43.7938889,-70.6530556
za,hota,Hota,5,,-31.640685,27.681357
zr,kakova,Kakova,9,,0.7333333,29.0166667
