Region,Population,Latitude,Longitude,Country,City,AccentCity
92,,41.8580556,21.4097222,mk,cvetovo,Cvetovo
86,,52.176861,17.649143,pl,ciesle male,Ciesle XXX
39,,41.677473,27.067859,tr,yenioe,Yenioe
14,,-10.55,34.6,tz,lituhi mission,Lituhi Mission
ME,,43.7938889,-70.6530556,us,steep falls,Steep Falls
5,,-31.640685,27.681357,za,hota,Hota
XX,,0.7333333,29.0166667,zr,kakova,Kakova
3,,26.934908,115.628584,cn,fulongling,Fulongling
7,,52.15,10.4,de,placken,Placken
Z3,,51.4375,-3.304444,gb,duffryn,Duffryn
7,,-7.544444,109.183333,id,kemitang,Kemitang
12,,52.9911111,-6.8938889,ie,burtown cross roads,Burtown XXX
2,,54.2597222,-7.9266667,ie,oggal,Oggal
16,,34.788889,127.670833,kr,chusamdong,Chusamdong
